"City 'Liberia'","Rank","Population","City","ll.lat","ll.lon","ur.lat","ur.lon","Lat","Long"
"Buchannan Liberia",1,50245,"Buchannan",5.44926040319558,-10.4691387794922,6.32352369676032,-9.59023252949218,"5.88639204997795","-10.0296856544922"
"Buchannan Liberia",1,50245,"Buchannan",5.44926040319558,-10.4691387794922,6.32352369676032,-9.59023252949218,"5.88639204997795","-10.0296856544922"
"Gbarnga City Liberia",2,43713,"Gbarnga City",6.56537495521581,-9.91159087949219,7.43771839955077,-9.03268462949219,"7.00154667738329","-9.47213775449219"
"Ganta Liberia",3,42077,"Ganta",6.79888577691171,-9.42403647949219,7.67078576847455,-8.54513022949219,"7.23483577269313","-8.98458335449219"
"Cotton Tree Liberia",4,35110,"Cotton Tree",5.85102887425667,-10.7862764794922,6.72463916152724,-9.90737022949218,"6.28783401789195","-10.3468233544922"
"Kakata City Liberia",5,34608,"Kakata City",6.09268427701899,-10.7829422794922,6.96588115487954,-9.90403602949218,"6.52928271594926","-10.3434891544922"
"Brewerville City Liberia",6,31014,"Brewerville City",NA,NA,NA,NA,"6.4233333","-10.7838889"
"Zwedru Liberia",7,25349,"Zwedru",5.62709438697386,-8.57808437949219,6.50107392974783,-7.69917812949219,"6.06408415836084","-8.13863125449219"
"Harper City Liberia",8,24018,"Harper City",3.93698656022855,-8.13970807949218,4.81332297052823,-7.26080182949218,"4.37515476537839","-7.70025495449218"
"Pleebo City Liberia",9,23464,"Pleebo City",4.15054988349801,-8.1118664794922,5.02663044453537,-7.2329602294922,"4.588590","-7.672413"
"Foya Town Liberia",10,20569,"Foya Town",7.92429524372123,-10.6455165794922,8.79385565973125,-9.7666103294922,"8.35907545172624","-10.2060634544922"
"Buchannan Liberia",11,15352,"Buchannan",5.44926040319558,-10.4691387794922,6.32352369676032,-9.59023252949218,"5.88639204997795","-10.0296856544922"
"Buchannan Liberia",11,15352,"Buchannan",5.44926040319558,-10.4691387794922,6.32352369676032,-9.59023252949218,"5.88639204997795","-10.0296856544922"
"Voinjama Liberia",12,15269,"Voinjama",7.98455891458735,-10.1926946794922,8.8539846089359,-9.31378842949219,"8.41927176176163","-9.75324155449219"
"Tubmanburg Liberia",13,14576,"Tubmanburg",6.4329761331014,-11.2641610794922,7.3055645933687,-10.3852548294922,"6.86927036323505","-10.8247079544922"
"Harbel-Cotton Tree Liberia",14,14227,"Harbel-Cotton Tree",5.83811289806614,-10.7867138794922,6.71174484487474,-9.9078076294922,"6.274929","-10.347261"
"Saclepea Liberia",15,13765,"Saclepea",NA,NA,NA,NA,"7.1094444","-8.8405556"
"Greenville City Liberia",16,13370,"Greenville City",4.57677012169536,-9.47652767949219,5.45230375491422,-8.59762142949219,"5.01453693830479","-9.03707455449219"
"Sanniquellie City Liberia",17,11854,"Sanniquellie City",6.92193040496417,-9.14834537949218,7.79359091654192,-8.26943912949218,"7.35776066075304","-8.708892"
"Careysburg Liberia",18,10525,"Careysburg",5.95558349654651,-10.9318228794922,6.82901682016108,-10.0529166294922,"6.3923001583538","-10.4923697544922"
"Bong mines Liberia",19,10166,"Bong mines",6.38500361900385,-10.7354331794922,7.25767970995315,-9.85652692949218,"6.8213416644785","-10.2959800544922"
"Tappita City Liberia",20,9260,"Tappita City",NA,NA,NA,NA,NA,NA
"Ziah Town Liberia",21,9253,"Ziah Town",5.30962099423837,-8.29256187949218,6.1841012064063,-7.41365562949218,"5.74686110032233","-7.85310875449218"
"Yekepa Liberia",22,8439,"Yekepa",7.14253828515729,-8.97516467949219,8.0137593961163,-8.09625842949219,"7.57814884063679","-8.53571155449219"
"Karnplay Liberia",23,7989,"Karnplay",NA,NA,NA,NA,NA,NA
"Vahun Liberia",24,7284,"Vahun",7.60679027202837,-10.9233891794922,8.47704464537805,-10.0444829294922,"8.04191745870321","-10.4839360544922"
"Bahn Liberia",25,7258,"Bahn",6.58399746914459,-9.15797797949219,7.45630607817502,-8.27907172949219,"7.02015177365981","-8.71852485449219"
"Kolahun Liberia",26,7171,"Kolahun",7.84895279301353,-10.5250933794922,8.71868029118383,-9.64618712949219,"8.28381654209868","-10.0856402544922"
"Masambolahun Liberia",27,7144,"Masambolahun",7.79063688834999,-10.6126554794922,8.66049268090426,-9.73374922949218,"8.22556478462713","-10.1732023544922"
"Kanweaken Liberia",28,6430,"Kanweaken",NA,NA,NA,NA,NA,NA
"Totota Liberia",29,6400,"Totota",6.37817919594746,-10.3768921794922,7.2508677034008,-9.4979859294922,"6.81452344967413","-9.9374390544922"
"Wayzohn Community Liberia",30,6302,"Wayzohn Community",NA,NA,NA,NA,NA,NA
"Suacoco Liberia",31,5842,"Suacoco",6.68531820166303,-10.0283707794922,7.55743566996875,-9.14946452949218,"7.12137693581589","-9.58891765449218"
"Zorzor Liberia",32,5577,"Zorzor",7.33892633182026,-9.86436957949218,8.20974544827633,-8.98546332949218,"7.77433589004829","-9.42491645449218"
"Salala Liberia",33,4784,"Salala",6.33832124211237,-10.3852741794922,7.21108202134244,-9.50636792949218,"6.7747016317274","-9.94582105449218"
"Barkedu Liberia",34,4354,"Barkedu",NA,NA,NA,NA,NA,NA
"Zleh Liberia",35,4229,"Zleh",5.78806881693885,-8.87638157949218,6.66178426730958,-7.99747532949218,"6.22492654212421","-8.43692845449218"
"Bensonville City Liberia",36,3932,"Bensonville City",6.00943516482652,-11.0570141794922,6.88277620995771,-10.1781079294922,"6.44610568739212","-10.6175610544922"
"Zolu Liberia",37,3897,"Zolu",5.88473711976232,-11.2438446794922,6.75829067115928,-10.3649384294922,"6.3215138954608","-10.8043915544922"
"Arthington City Liberia",38,3848,"Arthington City",6.07649652982767,-11.1161521794922,6.94972158495332,-10.2372459294922,"6.5131090573905","-10.6766990544922"
"Salayea Liberia",39,3768,"Salayea",7.02688170203622,-10.0283707794922,7.89833478087422,-9.14946452949218,"7.46260824145522","-9.58891765449218"
"Barclayville Liberia",40,3699,"Barclayville",4.23754629608408,-8.67271107949218,5.11351915234284,-7.79380482949219,"4.67553272421346","-8.23325795449218"
"Weala Liberia",41,3641,"Weala",6.25026654990232,-10.6504209794922,7.12318549959809,-9.77151472949219,"6.68672602475021","-10.2109678544922"
"Clay Ashland City Liberia",42,3616,"Clay Ashland City",5.98417256221184,-11.1661671794922,6.85755699235454,-10.2872609294922,"6.42086477728319","-10.7267140544922"
"Fish Town City Liberia",43,3566,"Fish Town City",4.76222279109719,-8.31687847949219,5.63750335148745,-7.43797222949219,"5.19986307129232","-7.87742535449219"
"Robertsport Liberia",44,3515,"Robertsport",6.31362502859185,-11.8059854794922,7.18643037647496,-10.9270792294922,"6.75002770253341","-11.3665323544922"
"Karloken Liberia",45,3252,"Karloken",4.36163808014079,-8.17772077949218,5.23745381793777,-7.29881452949218,"4.79954594903928","-7.73826765449218"
"Borkeza Liberia",46,3227,"Borkeza",NA,NA,NA,NA,"7.8727778","-9.4838889"
"St. John River City Liberia",47,3185,"St. John River City",5.6009142561752,-10.4523593794922,6.47493609911706,-9.57345312949219,"6.03792517764613","-10.0129062544922"
"Damballa Liberia",48,3154,"Damballa",6.70064596416577,-11.7216149794922,7.57273427993185,-10.8427087294922,"7.13669012204881","-11.2821618544922"
"Kai Liberia",49,3006,"Kai",NA,NA,NA,NA,"6.3166667","-9.75"
"Geata Liberia",50,2977,"Geata",6.79888577691171,-9.42403647949219,7.67078576847455,-8.54513022949219,"7.23483577269313","-8.98458335449219"
"Banlah Liberia",51,2929,"Banlah",6.43890931245938,-9.48550997949218,7.3114868922836,-8.60660372949218,"6.87519810237149","-9.04605685449218"
"Bopolu Liberia",52,2912,"Bopolu",6.63261314169795,-10.9253264794922,7.50483037709777,-10.0464202294922,"7.06872175939786","-10.4858733544922"
"Toe Liberia",53,2842,"Toe",6.86707715289073,-10.3426740794922,7.73884491978483,-9.46376782949219,"7.30296103633778","-9.90322095449219"
"Jacksonville Liberia",54,2802,"Jacksonville",39.4073184676008,-90.6824702794922,40.0830960338835,-89.8035640294922,"39.7452072507422","-90.2430171544922"
"Juluken # 1 Liberia",55,2710,"Juluken # 1",NA,NA,NA,NA,NA,NA
"Lugbye Liberia",56,2672,"Lugbye",NA,NA,NA,NA,"7.6088889","-8.6225"
"Gbarnga Siaquelleh Liberia",57,2639,"Gbarnga Siaquelleh",NA,NA,NA,NA,NA,NA
"Weajue Liberia",58,2621,"Weajue",NA,NA,NA,NA,"7.1608333","-10.9175"
"Fasama Liberia",59,2561,"Fasama",7.24692489344757,-9.9220994794922,8.11793360148343,-9.0431932294922,"7.6824292474655","-9.4826463544922"
"Toweh Town Liberia",60,2553,"Toweh Town",6.35902262195936,-9.10295047949219,7.23174591732507,-8.22404422949219,"6.79538426964221","-8.66349735449219"
"Gbeleyee Liberia",61,2527,"Gbeleyee",NA,NA,NA,NA,NA,NA
